GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gidd-api,no.ntnu.idatt210620217.giddapi.emailUtil,EmailService,21,3,0,0,7,1,1,1,1,1
gidd-api,no.ntnu.idatt210620217.giddapi.Service,UserService,249,263,54,30,41,52,41,13,4,8
gidd-api,no.ntnu.idatt210620217.giddapi.Service,NotificationService,93,29,14,2,24,9,10,3,2,3
gidd-api,no.ntnu.idatt210620217.giddapi.Service,ParticipantService,93,240,9,21,25,49,9,13,0,7
gidd-api,no.ntnu.idatt210620217.giddapi.Service,EquipmentService,55,7,8,0,13,2,5,1,1,1
gidd-api,no.ntnu.idatt210620217.giddapi.Service,SportService,28,91,8,10,6,18,8,8,0,7
gidd-api,no.ntnu.idatt210620217.giddapi.Service,EquipmentUserService,160,7,10,0,36,2,9,1,4,1
gidd-api,no.ntnu.idatt210620217.giddapi.Service,SportStatsService,98,193,16,10,22,41,12,8,1,6
gidd-api,no.ntnu.idatt210620217.giddapi.Service,ActivityService,278,558,88,74,63,98,74,25,3,15
gidd-api,no.ntnu.idatt210620217.giddapi.notificationUtil,NotificationGenerator,0,30,0,0,0,8,0,2,0,2
gidd-api,no.ntnu.idatt210620217.giddapi.model,AuthenticationResponse,6,15,0,0,3,6,1,3,1,3
gidd-api,no.ntnu.idatt210620217.giddapi.model,Sport,0,19,0,0,0,8,0,5,0,5
gidd-api,no.ntnu.idatt210620217.giddapi.model,SportStats,55,40,10,0,11,13,9,7,4,7
gidd-api,no.ntnu.idatt210620217.giddapi.model,Rating,25,33,0,0,10,9,5,3,5,3
gidd-api,no.ntnu.idatt210620217.giddapi.model,Participant,15,37,0,0,7,12,4,6,4,6
gidd-api,no.ntnu.idatt210620217.giddapi.model,PrivateUser,0,63,0,0,0,22,0,11,0,11
gidd-api,no.ntnu.idatt210620217.giddapi.model,SportUserId,61,18,10,0,11,7,9,4,4,4
gidd-api,no.ntnu.idatt210620217.giddapi.model,ErrorResponse,29,0,0,0,10,0,5,0,5,0
gidd-api,no.ntnu.idatt210620217.giddapi.model,EquipmentUserId,79,0,10,0,18,0,13,0,8,0
gidd-api,no.ntnu.idatt210620217.giddapi.model,BroughtEquipment,21,0,0,0,8,0,4,0,4,0
gidd-api,no.ntnu.idatt210620217.giddapi.model,Activity,50,176,0,0,16,67,1,36,1,36
gidd-api,no.ntnu.idatt210620217.giddapi.model,AuthenticationRequest,0,26,0,0,0,12,0,6,0,6
gidd-api,no.ntnu.idatt210620217.giddapi.model,EquipmentUser,92,0,10,0,23,0,15,0,10,0
gidd-api,no.ntnu.idatt210620217.giddapi.model,SportStatsInfo,0,21,0,0,0,8,0,4,0,4
gidd-api,no.ntnu.idatt210620217.giddapi.model,ParticipantId,63,12,10,0,11,5,11,2,6,2
gidd-api,no.ntnu.idatt210620217.giddapi.model,Equipment,116,24,10,0,38,9,21,2,16,2
gidd-api,no.ntnu.idatt210620217.giddapi.model,Notification,14,70,0,0,6,26,4,11,4,11
gidd-api,no.ntnu.idatt210620217.giddapi.model,User,48,163,5,5,16,44,14,22,9,22
gidd-api,no.ntnu.idatt210620217.giddapi.controller,EquipmentController,48,7,4,0,13,2,3,1,1,1
gidd-api,no.ntnu.idatt210620217.giddapi.controller,UserController,130,107,2,0,30,21,4,6,3,6
gidd-api,no.ntnu.idatt210620217.giddapi.controller,ParticipantController,12,15,0,0,4,3,0,3,0,3
gidd-api,no.ntnu.idatt210620217.giddapi.controller,NotificationController,60,20,7,1,12,5,6,2,2,2
gidd-api,no.ntnu.idatt210620217.giddapi.controller,EquipmentUserController,101,7,8,0,23,2,8,1,4,1
gidd-api,no.ntnu.idatt210620217.giddapi.controller,SportController,32,57,0,0,8,11,0,6,0,6
gidd-api,no.ntnu.idatt210620217.giddapi.controller,ActivityController,73,126,4,4,18,30,4,8,1,7
gidd-api,no.ntnu.idatt210620217.giddapi.controller,SportStatsController,16,47,0,0,4,9,0,5,0,5
gidd-api,no.ntnu.idatt210620217.giddapi,GiddApiApplication,5,3,0,0,2,1,1,1,1,1
gidd-api,no.ntnu.idatt210620217.giddapi.security,JwtUtil,1,87,2,2,0,13,2,8,0,8
gidd-api,no.ntnu.idatt210620217.giddapi.security,PasswordGenerator,92,0,4,0,18,0,4,0,2,0
gidd-api,no.ntnu.idatt210620217.giddapi.security,SecurityConfigurer,0,58,0,0,0,12,0,5,0,5
gidd-api,no.ntnu.idatt210620217.giddapi.security,Sha256PasswordEncoder,10,84,1,5,4,18,1,7,0,5
gidd-api,no.ntnu.idatt210620217.giddapi.security,BasicUserDetails,3,31,0,0,1,13,1,9,1,9
gidd-api,no.ntnu.idatt210620217.giddapi.security,JwtRequestFilter,1,67,3,7,0,18,3,4,0,2
gidd-api,no.ntnu.idatt210620217.giddapi.security,MyUserDetailsService,5,20,1,1,1,4,1,2,0,2
